x,y,t
-70.57724069106618,23.095469175474932,p
-70.84846802274151,22.216144553692786,p
-71.11403815243244,21.2811296141531,p
-71.40468930489187,20.394066423150147,p
-71.31814982148977,20.369349671492678,p
-71.56848090055819,19.471554678207852,p
-71.81075058909555,18.55815184307731,p
-72.08329500084213,17.638670069525293,p
-72.36337723040157,16.586718657124432,p
-72.60519120101853,15.684534123254757,p
-72.85883130856828,14.91601824715932,p
-73.00861555716504,14.112110204575322,p
-73.13625299695029,14.136781725911991,p
-73.39900227155114,13.219790676891591,p
-73.5614724201742,12.283573396041941,p
-73.82066685921671,11.230229047554834,p
-74.09821722919257,10.295159224382598,p
-74.22698033893451,10.313049489041997,p
-74.45156561728663,9.379017919529902,p
-74.58969992293527,8.208426487852156,p
-74.81648163992146,7.072239745886354,p
-75.08124495818134,6.238770353969464,p
-75.33575867428883,5.41335062316464,p
-75.68807254495262,4.29788022517966,p
-76.11626657364847,10.521385977583146,p
-75.8476265612254,11.33550373952982,p
-75.60979726123388,12.151335651487424,p
-75.24448484302211,12.09262588142931,p
-74.96899986480159,12.89550151298425,p
-74.84175978879767,13.61454706245882,p
-74.57953789298354,14.415759697949722,p
-74.31323958806797,15.24080122324305,p
-73.93775625736882,16.37806764016799,p
-73.8791762312835,16.365091487277326,p
-73.55306503252592,17.035158476545305,p
-73.29713902743804,17.895024738524995,p
-73.11548842984173,18.62331473357201,p
-72.81543037366755,19.456361414652367,p
-72.53767246955117,20.171023095027202,p
-72.26436909064584,21.022096944189684,p
-71.98085301943613,21.73230081225486,p
-71.95213343451016,21.723629858346523,p
-71.7347349460632,22.79694501941125,p
-71.40944747416441,23.7962961705084,p
-71.19925037771922,24.724555519783344,p
-70.89772477658559,25.664618086064,p
-70.9259334203959,25.674829472570394,p
-70.6354416138084,26.775473628346248,p
-70.32745467893191,27.5468694842586,p
-70.04006875048319,28.26958912732178,p
-69.6436395341975,29.232590929145537,p
-69.34026013951504,30.121227129457747,p
-69.00041335587747,31.111397537205644,p
-68.7267249628643,31.901883578854804,p
-68.69951364243555,31.88925250445378,p
-68.26391955825893,32.92660605868078,p
-67.79162465441176,33.88834204730813,p
